
0	1
0	6
0	9
0	23
0	28
0	32
0	36
0	38
0	41
0	48
0	51
0	59
0	68
0	90
0	103
0	136
0	140
0	148
0	164
0	176
0	178
0	180
0	186
0	207
0	220
0	224
0	260
0	290
0	299
0	329
0	337
0	357
0	395
0	419
0	434
0	449
0	467
0	514
0	538
0	552
0	586
0	587
0	605
0	627
0	640
0	642
0	658
0	659
0	720
0	768
0	772
0	784
0	801
0	816
0	857
0	859
0	869
0	875
0	896
0	916
0	932
0	946
0	996
1	2
1	16
1	65
1	97
1	112
1	122
1	126
1	129
1	153
1	248
1	280
1	330
1	385
1	398
1	421
1	484
1	520
1	524
1	540
1	562
1	616
1	674
1	706
1	784
1	858
1	896
1	928
1	962
2	1
2	4
2	8
2	15
2	22
2	24
2	42
2	46
2	65
2	80
2	115
2	131
2	277
2	309
2	321
2	322
2	324
2	329
2	336
2	384
2	444
2	520
2	537
2	641
2	729
2	737
2	816
2	892
2	972
2	983
3	96
3	164
3	214
3	256
3	377
3	464
3	508
3	676
3	720
3	968
4	8
4	16
4	18
4	32
4	69
4	76
4	106
4	138
4	146
4	186
4	191
4	256
4	322
4	357
4	399
4	402
4	547
4	696
4	704
4	771
4	776
4	800
4	976
5	8
5	104
5	267
5	280
5	448
5	544
5	776
5	876
5	896
5	912
5	970
6	3
6	8
6	19
6	65
6	80
6	256
6	305
6	456
6	512
6	520
6	528
6	810
6	849
6	897
6	901
6	922
7	225
7	464
7	544
7	584
7	992
8	1
8	2
8	18
8	19
8	38
8	52
8	54
8	81
8	99
8	173
8	256
8	277
8	339
8	346
8	385
8	448
8	512
8	528
8	532
8	608
8	640
8	773
8	800
8	816
8	836
8	837
9	54
9	385
9	548
9	606
9	636
9	643
9	845
9	922
10	5
10	49
10	64
10	65
10	129
10	192
10	326
10	391
10	416
10	605
10	771
11	148
11	513
11	632
11	704
12	0
12	32
12	49
12	129
12	192
12	386
12	529
12	546
12	547
12	592
12	722
12	728
12	775
12	834
12	853
12	937
12	946
13	0
13	34
13	160
13	354
13	416
13	800
14	65
14	97
14	118
14	210
14	345
14	597
14	649
15	176
15	512
16	5
16	8
16	34
16	54
16	93
16	100
16	161
16	300
16	352
16	356
16	384
16	418
16	424
16	467
16	515
16	544
16	569
16	581
16	615
16	643
16	705
16	706
16	730
16	804
16	936
17	4
17	35
17	129
17	152
17	260
17	280
17	296
17	388
17	392
17	581
17	620
17	640
17	644
17	740
17	824
17	828
17	842
17	860
17	872
17	999
18	0
18	5
18	107
18	151
18	174
18	192
18	232
18	261
18	352
18	380
18	453
18	704
18	706
19	8
19	12
19	110
19	292
19	624
19	644
20	81
20	128
20	131
20	136
20	138
20	163
20	224
20	297
20	298
20	328
20	424
20	451
20	624
20	649
21	8
21	9
21	10
21	416
21	454
21	682
21	1016
