TimeStamp;NodeID;NodeCount;Schema;SF;WorkerCount;Item name;CPU ns;USER ns;BLOCKED#;BLOCKED ns;WAITED#;WAITED ns;SUMM all times;Running %;Running total%
1380706514091;1;1;demo;5000.0;1;ALL#SCHEDULERS;0;0;0;0;0;0;0;0.0;1.0
1380706514091;1;1;demo;5000.0;1;ALL#worker#0;3510000000;3140000000;0;0;2;0;3510000000;100.0;98.527
1380706514091;1;1;demo;5000.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#OS_ORDER;0;0;0;0;0;0;0;0.0;1.0
1380706514091;1;1;demo;5000.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;3510000000;3140000000;0;0;2;0;3510000000;100.0;98.527
1380706939005;1;1;demo;5000.0;1;ALL#SCHEDULERS;0;0;0;0;0;0;0;0.0;1.0
1380706939005;1;1;demo;5000.0;1;ALL#worker#0;2400000000;2090000000;0;0;2;0;2400000000;100.0;98.72
1380706939005;1;1;demo;5000.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#OS_ORDER;0;0;0;0;0;0;0;0.0;1.0
1380706939005;1;1;demo;5000.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;2400000000;2090000000;0;0;2;0;2400000000;100.0;98.72
1380760644900;1;1;item;5000.0;1;ALL#SCHEDULERS;0;0;0;0;0;0;0;0.0;1.0
1380760644900;1;1;item;5000.0;1;ALL#worker#0;2380000000;2100000000;0;0;2;0;2380000000;100.0;97.787
1380760644900;1;1;item;5000.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#OS_ORDER;0;0;0;0;0;0;0;0.0;1.0
1380760644900;1;1;item;5000.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;2380000000;2100000000;0;0;2;0;2380000000;100.0;97.787
1380760730470;1;1;item;5000.0;1;ALL#SCHEDULERS;0;0;0;0;0;0;0;0.0;1.0
1380760730470;1;1;item;5000.0;1;ALL#worker#0;10130000000;9470000000;0;0;4;2000000;10132000000;99.98;99.054
1380760730470;1;1;item;5000.0;1;All#PausedThread;0;0;0;0;0;0;0;0.0;1.0
1380760730470;1;1;item;5000.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#OS_ORDER;0;0;0;0;0;0;0;0.0;1.0
1380760730470;1;1;item;5000.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#OS_ORTER_ITEM;0;0;0;0;0;0;0;0.0;1.0
1380760730470;1;1;item;5000.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;10130000000;9470000000;0;0;4;2000000;10132000000;99.98;99.054
1380761459855;1;1;item;5000.0;1;ALL#SCHEDULERS;0;0;0;0;0;0;0;0.0;1.0
1380761459855;1;1;item;5000.0;1;ALL#worker#0;15370000000;14560000000;0;0;4;10000000;15380000000;99.935;99.274
1380761459855;1;1;item;5000.0;1;All#PausedThread;0;0;0;0;0;0;0;0.0;1.0
1380761459855;1;1;item;5000.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#OS_ORDER;0;0;0;0;0;0;0;0.0;1.0
1380761459855;1;1;item;5000.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#OS_ORTER_ITEM;0;0;0;0;0;0;0;0.0;1.0
1380761459855;1;1;item;5000.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;15370000000;14560000000;0;0;4;10000000;15380000000;99.935;99.274
1380761869886;1;1;item;5000.0;1;ALL#SCHEDULERS;0;0;0;0;0;0;0;0.0;1.0
1380761869886;1;1;item;5000.0;1;ALL#worker#0;15530000000;14770000000;0;0;4;2000000;15532000000;99.987;99.823
1380761869886;1;1;item;5000.0;1;All#PausedThread;0;0;0;0;0;0;0;0.0;1.0
1380761869886;1;1;item;5000.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#OS_ORDER;0;0;0;0;0;0;0;0.0;1.0
1380761869886;1;1;item;5000.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#OS_ORDER_ITEM;0;0;0;0;0;0;0;0.0;1.0
1380761869886;1;1;item;5000.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;15530000000;14770000000;0;0;4;2000000;15532000000;99.987;99.823
1380770477909;1;1;item;5000.0;1;ALL#SCHEDULERS;0;0;0;0;0;0;0;0.0;1.0
1380770477909;1;1;item;5000.0;1;ALL#worker#0;1531740000000;1449450000000;0;0;4;2000000;1531742000000;100.0;97.349
1380770477909;1;1;item;5000.0;1;All#PausedThread;0;0;0;0;0;0;0;0.0;1.0
1380770477909;1;1;item;5000.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#OS_ORDER;0;0;0;0;0;0;0;0.0;1.0
1380770477909;1;1;item;5000.0;1;pdgf.core.dataGenerator.scheduler.DefaultScheduler#OS_ORDER_ITEM;0;0;0;0;0;0;0;0.0;1.0
1380770477909;1;1;item;5000.0;1;pdgf.core.dataGenerator.worker.RowWorker#worker#0;1531740000000;1449450000000;0;0;4;2000000;1531742000000;100.0;97.349
1387106473919;1;1;item;5000.0;1;ALL#SCHEDULERS;0;0;0;0;0;0;0;0.0;1.0
