# Directed graph: kronecker_graph_new.txt 
# Kronecker Graph: seed matrix [0.904831, 0.569793; 0.591923, 0.123617]
# Nodes: 4096 Edges: 12182
# FromNodeId	ToNodeId
0	8
0	10
0	11
0	12
0	15
0	17
0	19
0	25
0	34
0	68
0	78
0	106
0	130
0	136
0	194
0	288
0	300
0	340
0	343
0	448
0	480
0	502
0	514
0	515
0	582
0	587
0	591
0	600
0	672
0	692
0	697
0	698
0	727
0	820
0	878
0	881
0	915
0	936
0	1052
0	1084
0	1153
0	1179
0	1184
0	1286
0	1352
0	1376
0	1430
0	1474
0	1508
0	1511
0	1616
0	1704
0	1708
0	1816
0	1840
0	1843
0	2054
0	2071
0	2082
0	2108
0	2146
0	2150
0	2193
0	2273
0	2284
0	2304
0	2312
0	2319
0	2321
0	2421
0	2484
0	2581
0	2600
0	2624
0	2738
0	2869
0	3072
0	3112
0	3121
0	3141
0	3185
0	3232
0	3240
0	3384
0	3432
0	3488
0	3505
0	3542
0	3570
0	3618
0	3624
0	3650
0	3658
0	3681
0	3952
1	0
1	17
1	65
1	67
1	73
1	80
1	84
1	196
1	234
1	264
1	269
1	328
1	514
1	520
1	524
1	680
1	826
1	864
1	876
1	928
1	936
1	1016
1	1082
1	1102
1	1112
1	1116
1	1176
1	1292
1	1410
1	1448
1	1514
1	1606
1	1648
1	1672
1	1848
1	2144
1	2173
1	2210
1	2261
1	2357
1	2404
1	2529
1	2820
1	2856
1	2862
1	2988
1	3140
1	3232
1	3332
1	3642
1	3818
1	3857
1	3883
2	21
2	37
2	40
2	90
2	145
2	152
2	233
2	256
2	277
2	283
2	305
2	359
2	384
2	417
2	560
2	577
2	588
2	668
2	729
2	769
2	834
2	836
2	1028
2	1040
2	1076
2	1108
2	1153
2	1200
2	1311
2	1328
2	1346
2	1449
2	1540
2	1672
2	1740
2	1768
2	2273
2	2318
2	2436
2	2453
2	2524
2	2612
2	2717
2	3028
2	3078
2	3605
2	3888
2	4012
3	84
3	132
3	463
3	962
3	1266
3	1348
3	1480
3	1732
3	2049
3	2120
3	2276
3	2308
3	2321
3	2652
3	2685
3	2752
3	2816
3	3040
3	3152
3	3204
3	3396
4	2
4	8
4	27
4	65
4	91
4	321
4	484
4	544
4	545
4	587
4	640
4	710
4	880
4	897
4	961
4	1063
4	1075
4	1096
4	1102
4	1104
4	1192
4	1258
4	1298
4	1378
4	1408
4	1473
4	1523
4	1600
4	1796
4	2049
4	2064
4	2075
4	2240
4	2272
4	2339
4	2358
4	2382
4	2516
4	2529
4	2538
4	2600
4	2658
4	2817
4	3104
4	3239
4	3250
4	3568
4	3696
4	3729
4	3885
5	0
5	106
5	112
5	457
5	640
5	787
5	1096
5	1664
5	1865
5	1986
5	2064
5	2093
5	2096
5	2107
5	2134
5	2184
5	2327
5	2656
5	2704
5	3072
5	3232
5	3368
5	3894
6	32
6	72
6	106
6	192
6	512
6	928
6	1106
6	1680
6	2049
6	2201
6	2920
6	3417
7	5
7	128
7	224
7	368
7	468
7	522
7	912
7	970
7	2112
7	2256
7	2592
8	21
8	33
8	36
8	49
8	114
8	132
8	133
8	161
8	196
8	306
8	384
8	403
8	457
8	480
8	483
8	514
8	532
8	544
8	672
8	748
8	800
8	814
8	826
8	922
8	1091
8	1120
8	1125
8	1219
8	1316
8	1396
8	1484
8	1561
8	1625
8	1759
8	1792
8	1793
8	1800
8	2003
8	2068
8	2073
8	2176
8	2225
8	2352
8	2466
8	2628
8	2860
8	3074
8	3108
8	3429
9	98
9	164
9	263
9	291
9	368
9	436
9	496
9	500
9	626
9	682
9	1052
9	1074
9	1097
9	1208
9	1288
9	1796
9	2129
9	2150
9	2260
9	2832
9	2856
9	2882
9	2976
9	3074
9	3438
9	3586
9	3588
9	3712
9	3720
9	3909
10	71
10	164
10	196
10	256
10	358
10	565
10	752
10	897
10	1057
10	1488
10	1517
10	2594
10	2637
10	2675
10	3233
10	3604
10	3700
11	258
11	517
11	730
11	1082
11	1168
11	1225
11	1604
11	2048
11	2096
11	2276
11	2400
11	3956
12	33
12	83
12	100
12	139
12	144
12	178
12	306
12	402
12	520
12	579
12	784
12	1312
12	1554
12	1688
12	1721
12	1796
12	2082
12	2243
12	2465
12	2475
12	2592
12	2866
12	2946
12	3105
12	3587
12	3625
13	16
13	49
13	258
13	296
13	514
13	1056
13	1072
13	1914
13	2458
13	2816
13	2851
13	3122
13	3144
13	3314
13	3456
13	3603
13	3755
13	3857
13	4003
14	128
14	388
14	419
14	1088
14	1266
14	2240
14	2322
14	2626
14	3026
14	3073
15	144
15	2212
15	2240
16	0
16	10
16	32
16	196
16	212
16	355
16	387
16	400
16	513
16	514
16	651
16	656
16	801
16	929
16	1097
16	1120
16	1161
16	1163
16	1190
16	1192
16	1218
16	1260
16	1288
16	1352
16	1378
16	1676
16	1736
16	2132
16	2176
16	2241
16	2248
16	2346
16	2369
16	2380
16	2472
16	2560
16	2578
16	2738
16	2868
16	2916
16	3058
16	3287
16	3340
16	3394
16	3470
16	3715
16	3784
16	4070
17	3
17	20
17	192
17	264
17	304
17	332
17	350
17	586
17	676
17	736
17	806
17	866
17	932
17	1028
17	1352
17	1861
17	2152
17	2170
17	2336
17	2368
17	2700
17	3064
17	3096
17	3138
17	3942
18	12
18	64
18	236
18	388
18	721
18	886
18	1313
18	1389
18	1648
18	1712
18	1800
18	2310
18	2442
18	2564
18	2625
18	2656
18	3105
18	3307
18	3624
18	3788
18	3909
18	3938
19	32
19	520
19	644
19	1064
19	1540
19	2562
19	2884
19	3456
19	3652
19	3776
20	145
20	160
20	161
20	194
20	256
20	288
20	480
20	512
20	545
20	624
20	673
20	809
20	866
20	1032
20	1064
20	1219
20	1385
20	2053
20	2185
20	2220
20	2243
20	2500
20	2624
20	3105
20	3218
20	3374
20	3489
20	3688
21	0
21	10
21	130
21	279
21	384
21	390
21	994
21	1025
21	1066
21	1280
21	1408
21	2392
21	2648
21	3138
21	3174
21	3210
22	12
22	112
22	352
22	560
22	719
22	768
22	769
22	1083
22	1542
22	1836
22	1972
22	2088
22	2281
22	2433
22	2536
22	2824
23	170
23	192
23	672
23	2312
23	2704
23	3104
23	3840
24	0
24	2
24	4
24	64
24	112
24	114
24	212
24	258
24	307
24	551
24	790
24	1063
24	1104
24	1152
24	1542
24	1634
24	2163
24	2176
24	2177
24	2821
24	2840
24	3424
24	3694
24	3776
24	3814
24	3998
24	4066
25	292
25	304
25	480
25	518
25	1027
25	1152
25	2038
25	2086
25	2192
25	2822
25	3296
26	4
26	5
26	161
26	163
26	358
26	804
26	866
26	1156
26	1248
26	1365
26	2112
26	2548
26	2592
26	2596
26	3157
27	96
27	2212
27	3393
28	1
28	144
28	673
28	1123
28	1174
28	1635
28	2080
28	2439
28	2513
28	3972
29	104
29	289
29	1536
29	3554
30	129
30	384
30	1152
30	1552
30	2209
31	384
31	1178
31	3328
32	4
32	7
32	73
32	83
32	137
32	147
32	178
32	224
32	277
32	536
32	558
32	656
32	673
32	706
32	796
32	1045
32	1102
32	1157
32	1179
32	1224
32	1283
32	1288
32	1304
32	1308
32	1367
32	1428
32	1556
32	1600
32	1650
32	1891
32	2048
32	2049
32	2052
32	2136
32	2250
32	2290
32	2312
32	2416
32	2439
32	2479
32	2960
32	3012
32	3236
32	3261
32	3328
32	3616
32	3673
33	12
33	44
33	146
33	198
33	462
33	512
33	704
33	706
33	798
33	986
33	1028
33	1034
33	1312
33	1346
33	1352
33	1473
33	1561
33	1862
33	2114
33	2376
33	2580
33	2585
33	2768
33	3072
33	3208
33	3466
33	3618
33	3626
33	3649
33	3652
33	3778
34	8
34	92
34	152
34	265
34	321
34	340
34	513
34	516
34	592
34	604
34	850
34	1037
34	1045
34	1176
34	1221
34	1664
34	1761
34	1933
34	2196
34	2888
34	2974
34	3154
34	3201
34	3456
34	3944
35	17
35	772
35	1048
35	1280
35	1328
35	2584
35	3192
35	3600
36	4
36	25
36	201
36	328
36	342
36	370
36	459
36	624
36	627
36	793
36	1409
36	1934
36	2242
36	2258
36	2993
36	3138
36	3489
37	21
37	48
37	400
37	472
37	480
37	642
37	667
37	1160
37	1418
37	1698
37	3586
37	3922
38	129
38	272
38	385
38	840
38	1105
38	1345
38	1745
38	1796
38	2112
38	2433
38	2445
38	2552
38	3634
39	2
39	456
39	1108
39	1224
39	1362
40	18
40	66
40	97
40	130
40	275
40	322
40	335
40	370
40	528
40	593
40	594
40	642
40	646
40	1057
40	1103
40	1394
40	1412
40	1921
40	2001
40	2049
40	2181
40	2241
40	2250
40	2560
40	2818
40	2994
40	3152
40	3349
40	3603
40	3848
40	3851
41	22
41	90
41	128
41	132
41	208
41	280
41	326
41	785
41	1172
41	2048
41	2121
41	2194
42	198
42	336
42	896
42	1088
42	1296
42	1666
42	2304
42	2314
42	2441
42	2464
42	2470
42	2612
42	3496
42	3652
43	22
43	512
43	597
43	834
43	2156
43	2565
43	2821
43	3196
43	3328
43	3716
44	2
44	67
44	80
44	305
44	1200
44	1408
44	1552
44	1808
44	2051
44	2768
44	3091
44	3807
44	3906
44	3969
45	80
45	651
45	2344
45	2368
45	2690
45	3072
45	3920
46	1088
46	2448
47	17
47	23
47	146
47	2384
47	3362
48	3
48	12
48	77
48	78
48	129
48	367
48	389
48	553
48	600
48	1184
48	1544
48	1576
48	1922
48	2248
48	2253
48	2305
48	2380
48	2585
48	2646
48	3009
48	3019
48	3162
48	3206
48	3310
48	3329
48	3494
48	3521
49	10
49	14
49	66
49	130
49	1024
49	1029
49	1088
49	1301
49	1346
49	1732
49	1872
49	2078
49	2484
49	3362
50	456
50	713
50	1163
50	1536
50	1600
50	1812
50	2082
50	2116
50	3137
51	260
51	2763
51	3273
52	197
52	402
52	772
52	856
52	990
52	1098
52	1760
52	2568
52	2701
52	2776
52	2840
52	3584
52	3607
53	0
53	64
53	1296
53	3296
53	3464
54	751
54	1281
54	1388
54	2625
55	579
55	2112
56	131
56	355
56	1669
56	2306
56	2628
56	2689
56	2954
56	3136
56	3290
56	3522
57	322
57	545
57	1570
57	2082
57	2326
57	2816
57	3396
58	2
58	136
58	768
58	771
58	784
58	1168
58	2045
58	3220
59	3808
60	642
60	654
60	1185
60	1216
60	1667
60	2052
60	2434
61	208
61	392
61	2274
61	3616
62	3969
63	2116
64	2
64	20
64	24
64	96
64	137
64	146
64	263
64	266
64	289
64	291
64	386
64	389
64	402
64	597
64	604
64	646
64	648
64	666
64	725
64	835
64	940
64	1027
64	1038
64	1040
64	1076
64	1301
64	1313
64	1360
64	1415
64	1536
64	1792
64	1920
64	1965
64	2011
64	2182
64	2349
64	2373
64	2448
64	2583
64	2708
64	2844
64	2886
64	3288
64	3368
64	3381
64	3827
64	3868
65	32
65	34
65	182
65	514
65	676
65	834
65	882
65	1056
65	1077
65	1166
65	1408
65	1434
65	1784
65	2051
65	2052
65	2092
65	2555
65	2688
65	3336
65	3380
66	292
66	376
66	400
66	409
66	537
66	660
66	992
66	1076
66	1168
66	1224
66	1318
66	1408
66	2052
66	2069
66	2224
66	2304
66	2340
66	2349
66	2689
66	3165
66	3240
66	3336
66	3408
66	3956
67	6
67	312
67	876
67	1536
67	1688
67	2334
67	2736
67	3140
67	3745
68	10
68	16
68	26
68	60
68	148
68	149
68	254
68	257
68	289
68	533
68	696
68	777
68	819
68	897
68	1107
68	1291
68	1410
68	1738
68	2105
68	3000
68	3076
68	3096
68	3600
68	3715
68	3970
69	282
69	528
69	848
69	1068
69	1210
69	1330
69	1448
69	1574
69	1947
69	2232
69	3088
69	3146
69	3866
70	77
70	1304
70	1432
70	1448
